batch,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,speed,timestamp,latitude,longitude,accuracy,date_time,anomaly,speed_level
0,1.27,-0.41,7.5,0.07,-0.01,-0.01,0,576,0,0,99.989998,00/00/2000 14:42:08:-0.000000,smooth,AVERAGE
0,0.99,-0.52,9.5,0.08,0,-0.03,0,600,0,0,99.989998,00/00/2000 14:42:08:-0.000000,smooth,AVERAGE
0,0.8,-0.37,9.95,0.03,0.01,-0.04,0,624,0,0,99.989998,00/00/2000 14:42:08:-0.000000,smooth,AVERAGE
0,0.75,-0.2,9.35,0.04,-0.06,-0.03,0,648,0,0,99.989998,00/00/2000 14:42:08:0.000000,smooth,AVERAGE
0,1.2,-0.18,10.77,0.02,0.01,-0.04,0,672,0,0,99.989998,00/00/2000 14:42:08:-0.000000,smooth,AVERAGE
0,1.58,-0.78,9.51,0.04,-0.03,-0.03,0,696,0,0,99.989998,00/00/2000 14:42:08:-0.000000,smooth,AVERAGE
0,1.6,-0.74,8.3,0.07,0,-0.03,0,720,0,0,99.989998,00/00/2000 14:42:08:0.000000,smooth,AVERAGE
0,1.8,-0.25,8.66,0.04,-0.03,-0.03,0,744,0,0,99.989998,00/00/2000 14:42:08:0.000000,smooth,AVERAGE
0,2.06,0.11,8.53,0.08,-0.03,-0.03,0,768,0,0,99.989998,00/00/2000 14:42:08:-0.000000,smooth,AVERAGE
0,1.21,-0.55,9.59,0.06,0.02,-0.04,0,792,0,0,99.989998,00/00/2000 14:42:09:-0.000000,smooth,AVERAGE
0,1.65,0.35,8.71,0.05,-0.08,-0.04,0,816,0,0,99.989998,00/00/2000 14:42:09:0.000000,smooth,AVERAGE
0,1.53,-0.76,9.63,-0.03,-0.07,-0.05,0,840,0,0,99.989998,00/00/2000 14:42:09:0.000000,smooth,AVERAGE
0,2.24,-0.19,7.42,0.12,0.02,-0.02,0,864,0,0,99.989998,00/00/2000 14:42:09:-0.000000,smooth,AVERAGE
0,2.79,-0.78,8.55,0.08,0.04,-0.04,0,888,0,0,99.989998,00/00/2000 14:42:09:-0.000000,smooth,AVERAGE
0,2.04,-0.73,9.08,0,-0.09,-0.06,0,912,0,0,99.989998,00/00/2000 14:42:09:1.770893,smooth,AVERAGE
0,1.48,-1.24,10.35,-0.03,-0.02,-0.05,0,936,0,0,99.989998,00/00/2000 14:42:09:-0.000000,smooth,AVERAGE
0,2.33,0.54,9.4,0.09,-0.03,-0.03,0,960,0,0,99.989998,00/00/2000 14:42:09:-0.000000,smooth,AVERAGE
