id,batch_id,speed,latitude,longitude,accuracy,timestamp,log_interval,acc_x_corrected,acc_y_corrected,acc_z_corrected,rot_x_corrected,rot_y_corrected,rot_z_corrected,batch,acc_x_global,acc_y_global,acc_z_global
4170,0,0.036011,7.297506,5.132819,0.88,2025-06-27 13:04:19.531127,28,0.65,-0.53,10.0,-0.0,0.02,0.01,inference,0.562251956915635,-0.4217944786488632,10.010462634400364
4171,0,0.036011,7.297506,5.132819,0.88,2025-06-27 13:04:19.556409,29,0.66,-0.55,10.0,-0.0,0.02,0.01,inference,0.5691319917545842,-0.43765794740740177,10.01112602542954
4172,0,0.036011,7.297506,5.132819,0.88,2025-06-27 13:04:19.580195,30,0.68,-0.54,9.98,-0.0,0.02,0.01,inference,0.5860026870383683,-0.4238748542997922,9.99156298877589
4173,0,0.036011,7.297506,5.132819,0.88,2025-06-27 13:04:19.609656,31,0.68,-0.55,9.99,-0.0,0.02,0.01,inference,0.5826848951917174,-0.4297601660237437,10.002039017751065
4174,0,0.036011,7.297506,5.132819,0.88,2025-06-27 13:04:19.636435,32,0.67,-0.54,10.01,-0.0,0.02,0.01,inference,0.5691796844724255,-0.415574466822039,10.022172037503122
4175,0,0.036011,7.297506,5.132819,0.88,2025-06-27 13:04:19.662849,33,0.65,-0.54,9.96,-0.0,0.02,0.01,inference,0.5464930972184148,-0.41220689302152685,9.972318224567355
4176,0,0.036011,7.297506,5.132819,0.88,2025-06-27 13:04:19.693021,34,0.66,-0.55,10.01,0.01,0.02,0.01,inference,0.552787545486445,-0.4184769439846253,10.022849044902772
4177,0,0.036011,7.297506,5.132819,0.88,2025-06-27 13:04:19.718501,35,0.67,-0.54,9.96,0.01,0.02,0.01,inference,0.5600240856498861,-0.4061461385485208,9.973139843481297
4178,0,0.036011,7.297506,5.132819,0.88,2025-06-27 13:04:19.745210,36,0.68,-0.55,10.01,-0.0,0.02,0.01,inference,0.5662104272217872,-0.4114784624020873,10.023726414217645
4179,0,0.036011,7.297506,5.132819,0.88,2025-06-27 13:04:19.768173,37,0.66,-0.54,10.0,-0.0,0.02,0.01,inference,0.5430239816148413,-0.3977020036098544,10.01369852111176
