id,batch_id,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,speed,latitude,longitude,accuracy,timestamp,log_interval,anomaly
4776,71,-0.62,0.01,10.09,-0.03,0.41,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1322,road-patch
4777,71,-0.68,-0.78,9.56,-0.07,-0.26,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1326,road-patch
4778,71,-1.19,-0.72,11.09,-0.08,0.29,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1330,road-patch
4779,71,2.3,-1.43,8.07,-0.07,-0.23,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:-0.000000,1334,road-patch
4780,71,-0.04,-0.92,9.97,-0.08,0.14,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:1.695733,1339,road-patch
4781,71,1.04,-0.36,9.51,-0.06,0.27,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1343,road-patch
4782,71,0.05,-0.83,10.23,-0.13,-0.17,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1347,road-patch
4783,71,0.91,-0.53,9.54,-0.06,0.19,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1352,road-patch
4784,71,-0.43,-0.41,10.15,-0.06,0.12,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1357,road-patch
4785,71,-1.13,-0.03,10.66,-0.03,0.05,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1361,road-patch
4786,71,-0.34,-0.43,9.57,-0.02,0.05,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1365,road-patch
4787,71,-0.82,-0.66,9.69,-0.02,0.06,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1369,road-patch
4788,71,-1.56,-0.66,10.22,-0.01,0.09,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1373,road-patch
4789,71,-1.81,-1.48,10.48,-0.04,0.08,0.04,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1378,road-patch
4790,71,-1.74,-1.97,11.15,-0.05,0.05,0.04,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:-0.000000,1383,road-patch
4791,71,-1.37,-1.67,11.11,0.0,0.0,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:-0.000000,1387,road-patch
4792,71,-1.1,-0.87,10.72,0.02,0.04,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:-0.000000,1391,road-patch
4793,71,-1.19,-0.82,10.64,0.01,0.05,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:-0.000000,1396,road-patch
4794,71,-0.43,-0.4,11.24,0.0,0.02,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:-0.000000,1401,road-patch
4795,71,0.12,-0.23,12.44,-0.02,0.04,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:-0.000000,1405,road-patch
4796,71,-0.22,0.15,13.01,0.0,0.0,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1409,road-patch
4797,71,-0.78,0.55,12.67,-0.01,0.0,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1413,road-patch
4798,71,-1.06,0.16,11.93,-0.03,0.05,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:-0.000000,1418,road-patch
4799,71,-1.36,-0.49,12.07,0.0,0.07,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1423,road-patch
4800,71,-1.55,-0.22,12.57,0.02,0.06,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:-0.000000,1427,road-patch
